Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,1,Course Overview,../Ursinus-CS274-Overview,Programming Assignment: Warmup Handed Out,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
0,2,From Circuits to Systems: the 555 Timer,./Activities/Circuits,Participation: Pre-Assessment Handed Out,./Assignments/Participation/PreAssessment,10,,written,,,,,,,,,,,COD Chapter 1,,Astable 555 Timer by Ben Eater,https://www.youtube.com/watch?v=kRlSFm519Bo,,,,,,
0,3,Number Systems,./Activities/NumberSystems,,,,,,,,,,,,,,,,"COD Chapter 2.4, 2.9",,,,,,,,,
1,0,Number Systems,,Programming Assignment: Warmup Due,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
1,1,Lab: Number Systems,,Lab: Number Systems Handed Out,./Labs/NumberSystems,100,_pages/Labs/lab-numbersystems.md,,,,,,,,,,,,,,,,,,,,,
1,2,The MIPS Assembly Language and Instructions,./Activities/MIPSInstructions,Participation: Pre-Assessment Due,./Assignments/Participation/PreAssessment,10,,written,,,,,,,,,,,COD Chapter 2.1-2.3,,,,,,,,,
1,3,The MIPS Assembly Language and Instructions,,Programming Assignment: Number System Conversions Handed Out,./Assignments/Programming/NumberSystemConversion,100,_pages/Assignments/assignment-numbersystemconversion.md,,,,,,,,,,,,,,,,,,,,,
3,0,From MIPS to Machine Language,./Activities/MachineLanguage,Lab: Number Systems Due,./Labs/NumberSystems,100,_pages/Labs/lab-numbersystems.md,,,,,,,,,,,,COD Chapter 2.5-2.6,,Hello World from Scratch on a 6502 by Ben Eater,https://www.youtube.com/watch?v=LnzuMJLZRdU&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=1,,,,,,
3,1,Lab: Introduction to MIPS Programming,,Lab: Introduction to MIPS Programming Handed Out,./Labs/MIPSIntro,100,_pages/Labs/lab-mipsintro.md,,,,,,,,,,,,,,,,,,,,,
3,2,MIPS Conditionals,./Activities/MIPSConditionals,,,,,,,,,,,,,,,,COD Chapter 2.7,,,,,,,,,
3,3,MIPS Conditionals,,Lab: Introduction to MIPS Programming Due,./Labs/MIPSIntro,100,_pages/Labs/lab-mipsintro.md,,,,,,,,,,,,How CPUs Read Machine Code by Ben Eater,https://www.youtube.com/watch?v=yl8vPW5hydQ&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=2,,,,,,,,
4,0,Lab: Bitwise Logical Operators,,Lab: Bitwise Logical Operators Handed Out,./Labs/BitwiseLogic,100,_pages/Labs/lab-bitwiselogic.md,,,,,,,,,,,,,,,,,,,,,
4,1,MIPS Iteration,./Activities/MIPSIteration,Programming Assignment: Number System Conversions Due,./Assignments/Programming/NumberSystemConversion,100,_pages/Assignments/assignment-numbersystemconversion.md,,,,,,,,,,,,,,,,,,,,,
4,2,MIPS Iteration,,Programming Assignment: MIPS Programming Handed Out,./Assignments/MIPSProgramming,100,_pages/Assignments/assignment-mipsprogramming.md,,,,,,,,,,,,,,,,,,,,,
4,3,MIPS Procedures,./Activities/MIPSProcedures,Lab: Bitwise Logical Operators Due,./Labs/BitwiseLogic,100,_pages/Labs/lab-bitwiselogic.md,,,,,,,,,,,,"COD Chapter 2.8, 2.10",,Assembly Language to Machine Code by Ben Eater,https://www.youtube.com/watch?v=oO8_2JJV0B4&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=3,,,,,,
5,0,Lab: Implementing if Statements in MIPS Assembly,,Lab: Implementing if Statements in MIPS Assembly Handed Out,./Labs/MIPSConditionals,100,_pages/Labs/lab-mipsconditionals.md,,,,,,,,,,,,,,,,,,,,,
5,1,MIPS Procedures,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,The Stack,./Activities/Stack,Participation: Self-Assessment Handed Out,./Assignments/Participation/SelfAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
5,3,Data Structures,./Activities/DataStructures,Lab: Implementing if Statements in MIPS Assembly Due,./Labs/MIPSConditionals,100,_pages/Labs/lab-mipsconditionals.md,,Midterm: Midterm Exam Handed Out,,100,,written,,,,,,Controlling an LCD Screen by Ben Eater,https://www.youtube.com/watch?v=FY3zTUaykVo&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=4,,,,,,,,
6,0,Lab: Implementing loops in MIPS Assembly,,Lab: Implementing loops in MIPS Assembly Handed Out,./Labs/MIPSIteration,100,_pages/Labs/lab-mipsiteration.md,,,,,,,,,,,,,,,,,,,,,
6,1,Data Structures,,Programming Assignment: MIPS Programming Due,./Assignments/MIPSProgramming,100,_pages/Assignments/assignment-mipsprogramming.md,,,,,,,,,,,,,,,,,,,,,
6,3,Recursion in MIPS,./Activities/MIPSRecursion,Midterm: Midterm Exam Due,,100,,written,,,,,,,,,,,,,,,,,,,,
8,0,Computer Arithmetic: Addition and Subtraction,./Activities/ComputerArithmeticAddSubtract,,,,,,,,,,,,,,,,COD Chapter 3.1-3.2,,What is a Stack by Ben Eater,https://www.youtube.com/watch?v=xBjQVxVxOxc&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=5,,,,,,
8,1,Computer Arithmetic: Addition and Subtraction Logic Gates,./Activities/ComputerArithmeticAddSubtractLogicGates,,,,,,,,,,,,,,,,How Computers Add Numbers by Ben Eater,https://www.youtube.com/watch?v=wvJc9CZcvBc,,,,,,,,
8,2,Computer Arithmetic: Multiplication and Division,./Activities/ComputerArithmeticMultiplyDivide,Lab: Implementing loops in MIPS Assembly Due,./Labs/MIPSIteration,100,_pages/Labs/lab-mipsiteration.md,,,,,,,,,,,,COD Chapter 3.3-3.4,,,,,,,,,
8,3,Computer Arithmetic: Multiplication and Division,,Participation: Self-Assessment Due,./Assignments/Participation/SelfAssessment,10,,written,,,,,,,,,,,RAM and Bus Timing by Ben Eater,https://www.youtube.com/watch?v=i_wrxBdXTgM&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=6,,,,,,,,
10,0,Lab: Procedures and Recursion in MIPS,,Lab: Procedures and Recursion in MIPS Handed Out,./Labs/MIPSProceduresRecursion,100,_pages/Labs/lab-mipsproceduresrecursion.md,,,,,,,,,,,,,,,,,,,,,
10,1,Computer Arithmetic: Floating Point,./Activities/ComputerArithmeticFloatingPoint,,,,,,,,,,,,,,,,COD Chapter 3.5,,What Every Computer Scientist Should Know about Floating Point Arithmetic by David Goldberg,https://www.itu.dk/~sestoft/bachelor/IEEE754_article.pdf,,,,,,
10,2,Computer Arithmetic: Floating Point,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,MIPS Processor Design: The ALU,./Activities/ALU,Lab: Procedures and Recursion in MIPS Due,./Labs/MIPSProceduresRecursion,100,_pages/Labs/lab-mipsproceduresrecursion.md,,,,,,,,,,,,Subroutines by Ben Eater,https://www.youtube.com/watch?v=omI0MrTWiMU&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=7,COD Chapter B.5,,,,,,,
11,0,Lab: Computer Arithmetic,,Lab: Computer Arithmetic Handed Out,./Labs/ComputerArithmetic,100,_pages/Labs/lab-computerarithmetic.md,,,,,,,,,,,,,,,,,,,,,
11,1,MIPS Processor Design: The ALU,,Programming Assignment: Floating Point Bit Fields Handed Out,./Assignments/FloatingPoint,100,_pages/Assignments/assignment-floatingpoint.md,,,,,,,,,,,,,,,,,,,,,
11,2,MIPS Processor Design: The ALU,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,The MIPS Single Cycle Design,./Activities/MIPSSingleCycle,Lab: Computer Arithmetic Due,./Labs/ComputerArithmetic,100,_pages/Labs/lab-computerarithmetic.md,,,,,,,,,,,,COD Chapter 4.1-4.4,,Computers on a Breadboard by Ben Eater,https://www.youtube.com/watch?v=fCbAafKLqC8&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=8,,,,,,
12,0,Lab: Adder Design,,Lab: Adder Design Handed Out,./Labs/AdderDesign,100,_pages/Labs/lab-adderdesign.md,,,,,,,,,,,,,,,,,,,,,
12,1,The MIPS Single Cycle Design,,Final Project: Project and Presentation Handed Out,Projects/Final,100,_pages/Projects/proj-final.md,,,,,,,,,,,,,,,,,,,,,
12,2,The MIPS Single Cycle Design,,Assignment: Single Cycle Datapath and Control Handed Out,./Assignments/SingleCycle,100,_pages/Labs/assignment-singlecycle.md,,,,,,,,,,,,,,,,,,,,,
12,3,Lab: 1 Bit ALU,,Lab: Adder Design Due,./Labs/AdderDesign,100,_pages/Labs/lab-adderdesign.md,,Lab: 1 Bit ALU Handed Out,./Labs/ALU1Bit,100,_pages/Labs/lab-alu1bit.md,,,,,,,How Assembly Language Loops Work by Ben Eater,https://www.youtube.com/watch?v=ZYJIakkcLYw&list=PLowKtXNTBypFbtuVMUVXNR0z1mu7dp7eH&index=9,COD Chapter 4.5,,,,,,,
13,0,The MIPS Single Cycle Design,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,The Memory Hierarchy: Cache Design,./Activities/Cache,Programming Assignment: Floating Point Bit Fields Due,./Assignments/FloatingPoint,100,_pages/Assignments/assignment-floatingpoint.md,,,,,,,,,,,,COD Chapter 5.1-5.4,,,,,,,,,
13,3,Lab: 4-bit ALU,,Lab: 4 Bit ALU Handed Out,./Labs/ALU4Bit,100,_pages/Labs/lab-alu4bit.md,,,,,,,,,,,,,,,,,,,,,
14,0,The Memory Hierarchy: Cache Design,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,The Memory Hierarchy: Cache Design,,Assignment: Single Cycle Datapath and Control Due,./Assignments/SingleCycle,100,_pages/Labs/assignment-singlecycle.md,,Programming Assignment: Cache Simulator Handed Out,./Assignments/CacheSimulator,100,_pages/Assignments/assignment-cachesimulator.md,,,,,,,,,,,,,,,,
14,2,The Memory Hierarchy: Cache Design,,Lab: 4 Bit ALU Due,./Labs/ALU4Bit,100,_pages/Labs/lab-alu4bit.md,,,,,,,,,,,,,,,,,,,,,
14,3,Review,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,Review,,Final Project: Project and Presentation Due,Projects/Final,100,_pages/Projects/proj-final.md,,,,,,,,,,,,,,,,,,,,,
15,1,Review,,Programming Assignment: Cache Simulator Due,./Assignments/CacheSimulator,100,_pages/Assignments/assignment-cachesimulator.md,,,,,,,,,,,,,,,,,,,,,
